ticker,vb_k,stoploss_pct,trailing_activate_pct,trailing_stop_pct,return_pct,win_rate,trades,mdd_pct,profit_factor,sharpe,score
KODEX200,0.3,1.5,2.0,0.5,76.3,66.3,104,10.46,2.13,1.84,55.62
KODEX코스닥150,0.3,1.5,2.0,0.5,21.35,55.0,80,7.76,1.37,0.63,48.6
삼성전자,0.3,1.5,2.0,0.5,70.97,61.4,83,7.8,2.18,1.44,57.49
KODEX200,0.3,1.5,2.0,1.0,75.56,66.7,99,10.42,2.16,1.86,55.71
KODEX코스닥150,0.3,1.5,2.0,1.0,19.56,55.4,74,9.44,1.37,0.59,47.73
삼성전자,0.3,1.5,2.0,1.0,61.19,58.0,81,8.54,2.02,1.27,54.89
KODEX200,0.3,1.5,2.0,1.5,74.48,66.0,97,10.42,2.14,1.84,55.6
KODEX코스닥150,0.3,1.5,2.0,1.5,18.59,55.4,74,9.41,1.35,0.57,47.6
삼성전자,0.3,1.5,2.0,1.5,54.98,57.7,78,9.27,1.98,1.23,53.58
KODEX200,0.3,1.5,2.5,0.5,84.74,64.0,100,10.39,2.2,1.93,56.57
KODEX코스닥150,0.3,1.5,2.5,0.5,14.8,48.6,74,13.66,1.25,0.46,42.44
삼성전자,0.3,1.5,2.5,0.5,79.66,60.0,75,7.82,2.35,1.54,59.38
KODEX200,0.3,1.5,2.5,1.0,80.02,64.2,95,10.39,2.18,1.92,56.35
KODEX코스닥150,0.3,1.5,2.5,1.0,13.46,49.3,69,14.15,1.25,0.42,42.5
삼성전자,0.3,1.5,2.5,1.0,71.99,58.1,74,8.15,2.21,1.43,57.63
KODEX200,0.3,1.5,2.5,1.5,78.57,63.8,94,10.39,2.16,1.9,56.14
KODEX코스닥150,0.3,1.5,2.5,1.5,12.43,49.3,69,14.14,1.23,0.4,42.34
삼성전자,0.3,1.5,2.5,1.5,63.62,58.3,72,8.15,2.13,1.36,56.53
KODEX200,0.3,1.5,3.0,0.5,95.36,63.6,99,10.46,2.33,2.07,58.23
KODEX코스닥150,0.3,1.5,3.0,0.5,19.66,47.8,69,10.63,1.35,0.58,45.83
삼성전자,0.3,1.5,3.0,0.5,82.34,59.5,74,7.82,2.38,1.57,59.81
KODEX200,0.3,1.5,3.0,1.0,96.33,64.9,97,10.41,2.38,2.17,58.89
KODEX코스닥150,0.3,1.5,3.0,1.0,16.49,47.0,66,11.52,1.3,0.5,44.8
삼성전자,0.3,1.5,3.0,1.0,77.2,57.5,73,8.15,2.27,1.47,58.44
KODEX200,0.3,1.5,3.0,1.5,95.79,64.6,96,10.41,2.37,2.16,58.84
KODEX코스닥150,0.3,1.5,3.0,1.5,15.51,47.0,66,11.57,1.28,0.48,44.6
삼성전자,0.3,1.5,3.0,1.5,72.11,58.6,70,8.15,2.28,1.49,58.15
